Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
267,Chris Mullin*,SF,33,GSW,79,63,2733,8.4,15.1,.553,1.6,3.9,.411,6.8,11.3,.602,3.5,4.1,.864,1.4,4.6,6.1,6.2,2.5,0.6,3.7,3.0,21.8,,118,112,mullich01
268,Eric Murdock,PG,28,DEN,12,0,114,6.8,15.0,.455,1.8,4.6,.400,5.0,10.5,.478,5.0,5.5,.917,0.5,4.6,5.0,10.9,4.1,0.9,5.0,4.1,20.5,,110,107,murdoer01
269,Gheorghe Mureșan,C,25,WSB,73,69,1849,9.2,15.2,.604,0.0,0.0,,9.2,15.2,.604,3.5,5.6,.618,4.0,9.6,13.5,0.8,1.2,2.7,3.3,6.5,21.8,,111,102,muresgh01
270,Lamond Murray,SF,23,LAC,74,1,1295,7.3,17.7,.416,1.3,3.7,.341,6.1,14.0,.436,6.3,8.6,.739,3.4,6.0,9.5,2.3,2.2,1.2,3.5,4.6,22.3,,104,107,murrala01
271,Tracy Murray,SF,25,WSB,82,1,1814,8.3,19.4,.425,3.0,8.6,.353,5.2,10.8,.481,3.9,4.6,.839,2.4,4.8,7.2,2.2,2.0,0.5,2.5,4.3,23.4,,110,106,murratr01
272,Dikembe Mutombo*,C,30,ATL,80,80,2973,7.1,13.4,.527,0.0,0.0,,7.1,13.4,.527,5.7,8.1,.705,5.0,12.3,17.3,2.0,0.9,4.9,3.5,4.6,19.8,,113,97,mutomdi01
273,Martin Müürsepp,PF,22,TOT,42,0,348,8.4,20.3,.412,0.6,3.7,.167,7.8,16.6,.467,6.8,10.9,.629,5.4,5.0,10.4,3.1,1.9,1.7,2.8,9.0,24.2,,104,108,muursma01
273,Martin Müürsepp,PF,22,MIA,10,0,27,10.1,28.2,.357,2.0,8.1,.250,8.1,20.1,.400,12.1,28.2,.429,4.0,6.0,10.1,6.0,0.0,2.0,6.0,6.0,34.2,,87,104,muursma01
273,Martin Müürsepp,PF,22,DAL,32,0,321,8.2,19.7,.419,0.5,3.4,.150,7.7,16.3,.474,6.4,9.4,.679,5.5,4.9,10.4,2.9,2.0,1.7,2.5,9.2,23.3,,106,108,muursma01
274,Steve Nash*,PG,22,PHO,65,2,684,5.6,13.2,.423,1.7,4.1,.418,3.8,9.0,.425,3.2,3.8,.824,1.2,3.5,4.7,10.4,1.5,0.0,4.7,6.9,16.0,,103,112,nashst01
275,Ruben Nembhard,SG-PG,24,TOT,10,0,113,7.5,17.4,.432,0.0,2.8,.000,7.5,14.6,.516,3.8,4.7,.800,1.4,2.4,3.8,8.0,4.2,0.0,3.8,5.7,18.8,,101,103,nembhru01
275,Ruben Nembhard,SG,24,UTA,8,0,94,6.8,16.4,.414,0.0,2.3,.000,6.8,14.2,.480,4.5,5.7,.800,1.7,2.8,4.5,6.8,3.4,0.0,1.7,5.1,18.1,,110,105,nembhru01
275,Ruben Nembhard,PG,24,POR,2,0,19,11.1,22.2,.500,0.0,5.6,.000,11.1,16.7,.667,0.0,0.0,,0.0,0.0,0.0,13.9,8.3,0.0,13.9,8.3,22.2,,77,95,nembhru01
276,Ivano Newbill,PF,26,ATL,72,2,850,2.6,5.9,.440,0.0,0.0,,2.6,5.9,.440,1.3,3.4,.385,4.9,8.3,13.3,1.6,1.8,1.0,2.7,7.5,6.5,,91,101,newbiiv01
277,Johnny Newman,SF,33,MIL,82,4,2060,6.4,14.2,.450,0.9,2.6,.347,5.5,11.7,.472,4.9,6.4,.765,1.7,3.1,4.8,3.0,1.9,0.4,3.0,6.7,18.6,,106,110,newmajo01
278,Gaylon Nickerson,SG,27,TOT,4,0,42,5.2,15.6,.333,0.0,2.6,.000,5.2,13.0,.400,9.1,9.1,1.000,1.3,5.2,6.5,1.3,1.3,1.3,1.3,1.3,19.5,,111,113,nickega01
278,Gaylon Nickerson,SG,27,SAS,3,0,36,4.6,13.7,.333,0.0,1.5,.000,4.6,12.2,.375,10.7,10.7,1.000,1.5,4.6,6.1,1.5,0.0,1.5,0.0,1.5,19.9,,131,117,nickega01
278,Gaylon Nickerson,SG,27,WSB,1,0,6,8.7,26.0,.333,0.0,8.7,.000,8.7,17.3,.500,0.0,0.0,,0.0,8.7,8.7,0.0,8.7,0.0,8.7,0.0,17.3,,51,90,nickega01
279,Ken Norman,SF,32,ATL,17,0,220,6.8,23.6,.287,1.5,9.6,.158,5.3,14.1,.375,1.0,3.0,.333,2.0,7.8,9.8,3.0,1.8,0.8,4.5,4.3,16.1,,69,102,normake01
280,Moochie Norris,PG,23,VAN,8,0,89,2.4,13.4,.182,1.2,6.1,.200,1.2,7.3,.167,1.2,3.0,.400,1.8,5.5,7.3,14.0,2.4,0.0,3.0,3.0,7.3,,81,112,norrimo01
281,Ed O'Bannon,SF,24,TOT,64,5,809,6.0,18.1,.333,1.2,4.5,.257,4.9,13.5,.359,2.0,2.3,.886,3.2,6.3,9.6,2.5,1.9,0.8,1.3,6.3,15.2,,96,109,obanned01
281,Ed O'Bannon,SF,24,NJN,45,5,634,6.2,17.0,.367,1.4,4.9,.283,4.8,12.0,.401,1.6,1.9,.870,3.4,5.8,9.2,2.3,2.0,0.8,1.1,6.4,15.5,,104,110,obanned01
281,Ed O'Bannon,SF,24,DAL,19,0,175,5.2,22.2,.236,0.3,3.1,.100,4.9,19.1,.258,3.4,3.7,.917,2.8,8.3,11.1,3.4,1.5,0.6,1.8,5.9,14.2,,75,107,obanned01
282,Jermaine O'Neal,PF,18,POR,45,0,458,8.0,17.6,.451,0.0,0.1,.000,8.0,17.5,.454,5.4,9.0,.603,4.5,9.8,14.3,0.9,0.2,3.0,3.1,5.3,21.3,,100,102,onealje01
283,Shaquille O'Neal*,C,24,LAL,51,51,1941,15.0,26.9,.557,0.0,0.1,.000,15.0,26.8,.559,6.3,13.0,.484,5.3,12.1,17.4,4.3,1.2,4.0,4.0,4.9,36.3,,110,99,onealsh01
284,Charles Oakley,PF,33,NYK,80,80,2873,6.3,12.8,.488,0.1,0.4,.263,6.2,12.5,.495,3.3,4.1,.808,4.5,9.9,14.4,4.1,2.0,0.4,3.2,5.6,15.9,,109,99,oaklech01
